Time,Temperature,Humidity,Pressure
1760784150234,20.5,45.2,1013.25
1760784150734,20.7,44.8,1013.30
1760784151234,21.0,44.5,1013.28
1760784151734,21.2,44.1,1013.35
1760784152234,21.5,43.8,1013.40
1760784152734,21.8,43.5,1013.45
1760784153234,22.0,43.2,1013.50
1760784153734,22.3,42.9,1013.55
1760784154234,22.5,42.6,1013.60
1760784154734,22.8,42.3,1013.65
1760784155234,23.0,42.0,1013.70
1760784155734,23.2,41.7,1013.75
1760784156234,23.5,41.4,1013.80
1760784156734,23.8,41.1,1013.85
1760784157234,24.0,40.8,1013.90